#Step   Etot   PotE Ktot  T
493 -1.835844 -2.435770  0.599926 0.60
494 -1.835846 -2.432114  0.596268 0.60
495 -1.835849 -2.428425  0.592576 0.59
496 -1.835849 -2.424668  0.588818 0.59
497 -1.835850 -2.420812  0.584962 0.58
498 -1.835854 -2.416836  0.580982 0.58
499 -1.835858 -2.412717  0.576859 0.58
500 -1.835860 -2.408452  0.572592 0.57
501 -1.835862 -2.404055  0.568194 0.57
502 -1.835852 -2.399548  0.563697 0.56
503 -1.835845 -2.394999  0.559154 0.56
504 -1.835840 -2.390477  0.554637 0.55
505 -1.835837 -2.386072  0.550235 0.55
506 -1.835830 -2.381884  0.546054 0.55
507 -1.835825 -2.378034  0.542209 0.54
508 -1.835820 -2.374643  0.538823 0.54
509 -1.835816 -2.371833  0.536017 0.54
510 -1.835804 -2.369714  0.533910 0.53
511 -1.835796 -2.368401  0.532605 0.53
512 -1.835798 -2.367987  0.532189 0.53
513 -1.835798 -2.368521  0.532723 0.53
514 -1.835793 -2.370029  0.534236 0.53
515 -1.835794 -2.372518  0.536724 0.54
516 -1.835799 -2.375944  0.540145 0.54
517 -1.835806 -2.380225  0.544419 0.54
518 -1.835813 -2.385241  0.549427 0.55
519 -1.835825 -2.390844  0.555019 0.56
520 -1.835838 -2.396850  0.561012 0.56
521 -1.835850 -2.403054  0.567204 0.57
522 -1.835869 -2.409251  0.573382 0.57
523 -1.835883 -2.415210  0.579327 0.58
524 -1.835888 -2.420721  0.584834 0.58
525 -1.835895 -2.425612  0.589717 0.59
526 -1.835900 -2.429727  0.593827 0.59
527 -1.835903 -2.432970  0.597066 0.60
528 -1.835902 -2.435296  0.599394 0.60
529 -1.835901 -2.436741  0.600839 0.60
530 -1.835896 -2.437400  0.601504 0.60
531 -1.835874 -2.437430  0.601556 0.60
532 -1.835860 -2.437078  0.601218 0.60
533 -1.835849 -2.436590  0.600741 0.60
534 -1.835842 -2.436217  0.600376 0.60
535 -1.835837 -2.436172  0.600335 0.60
536 -1.835832 -2.436601  0.600769 0.60
537 -1.835830 -2.437571  0.601741 0.60
538 -1.835836 -2.439065  0.603229 0.60
539 -1.835847 -2.440984  0.605137 0.61
540 -1.835852 -2.443169  0.607317 0.61
541 -1.835861 -2.445464  0.609603 0.61
542 -1.835871 -2.447705  0.611834 0.61
543 -1.835873 -2.449754  0.613881 0.61
544 -1.835874 -2.451530  0.615656 0.62
545 -1.835875 -2.452989  0.617114 0.62
546 -1.835885 -2.454136  0.618251 0.62
547 -1.835875 -2.454972  0.619096 0.62
548 -1.835876 -2.455575  0.619699 0.62
549 -1.835871 -2.455989  0.620118 0.62
550 -1.835867 -2.456275  0.620409 0.62
551 -1.835864 -2.456483  0.620618 0.62
552 -1.835860 -2.456640  0.620780 0.62
553 -1.835857 -2.456763  0.620905 0.62
554 -1.835858 -2.456850  0.620992 0.62
555 -1.835860 -2.456880  0.621019 0.62
556 -1.835857 -2.456813  0.620956 0.62
557 -1.835860 -2.456622  0.620762 0.62
558 -1.835860 -2.456257  0.620397 0.62
559 -1.835867 -2.455689  0.619822 0.62
560 -1.835873 -2.454878  0.619005 0.62
561 -1.835867 -2.453788  0.617921 0.62
562 -1.835867 -2.452426  0.616560 0.62
563 -1.835863 -2.450784  0.614921 0.61
564 -1.835859 -2.448875  0.613016 0.61
565 -1.835862 -2.446734  0.610872 0.61
566 -1.835865 -2.444388  0.608524 0.61
567 -1.835864 -2.441881  0.606017 0.61
568 -1.835861 -2.439264  0.603403 0.60
569 -1.835858 -2.436596  0.600739 0.60
570 -1.835865 -2.433944  0.598079 0.60
571 -1.835863 -2.431337  0.595474 0.60
572 -1.835861 -2.428830  0.592969 0.59
573 -1.835866 -2.426460  0.590595 0.59
574 -1.835859 -2.424225  0.588367 0.59
575 -1.835860 -2.422145  0.586285 0.59
576 -1.835866 -2.420195  0.584329 0.58
577 -1.835875 -2.418341  0.582467 0.58
578 -1.835890 -2.416537  0.580647 0.58
579 -1.835905 -2.414717  0.578812 0.58
580 -1.835912 -2.412810  0.576898 0.58
581 -1.835922 -2.410762  0.574840 0.57
582 -1.835929 -2.408508  0.572579 0.57
583 -1.835929 -2.405994  0.570065 0.57
584 -1.835931 -2.403192  0.567261 0.57
585 -1.835932 -2.400080  0.564147 0.56
586 -1.835932 -2.396655  0.560723 0.56
587 -1.835930 -2.392939  0.557009 0.56
588 -1.835927 -2.388974  0.553047 0.55
589 -1.835920 -2.384821  0.548902 0.55
590 -1.835916 -2.380577  0.544661 0.54
591 -1.835914 -2.376345  0.540431 0.54
592 -1.835908 -2.372244  0.536335 0.54
593 -1.835900 -2.368407  0.532507 0.53
594 -1.835889 -2.364974  0.529085 0.53
595 -1.835885 -2.362086  0.526201 0.53
596 -1.835876 -2.359852  0.523976 0.52
597 -1.835872 -2.358376  0.522504 0.52
598 -1.835868 -2.357718  0.521850 0.52
599 -1.835868 -2.357909  0.522041 0.52
600 -1.835877 -2.358941  0.523065 0.52
601 -1.835887 -2.360760  0.524873 0.52
602 -1.835893 -2.363280  0.527387 0.53
603 -1.835902 -2.366406  0.530504 0.53
