material_id,original_formula,M_element,composition_reduced,nsites,volume,density,density_atomic,spacegroup_symbol,spacegroup_number,crystal_system,formation_energy_per_atom,energy_above_hull,band_gap,Li_count
mp-25993,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,924.2144272000879,2.999970411022088,11.5526803400011,P2_1/c,14,Monoclinic,-2.506846264196427,0.005395784999999,2.6074,3
mp-26069,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,900.3438470407593,3.079507839313831,11.254298088009492,P2_1/c,14,Monoclinic,-2.500679353571428,0.011562695624999,2.4969,3
mp-26677,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,416.08320038098935,3.331804711775466,10.402080009524735,C2/m,12,Monoclinic,-2.471529128446428,0.040712920749998,1.3953,3
mp-26825,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,430.91667262004097,3.217113784646637,10.772916815501024,C2/c,15,Monoclinic,-2.469539166946428,0.042702882249998006,2.2355,3
mp-504385,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,916.5100508516247,3.025188793580241,11.456375635645308,P2/c,13,Monoclinic,-2.469461976821428,0.042780072374998,2.5408,3
mp-585226,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,456.9174589049714,3.034044640890636,11.422936472624285,C2/c,15,Monoclinic,-2.477361703696428,0.034880345499998,1.482899999999999,3
mp-6373,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,935.9713934415746,2.96228704687764,11.699642418019682,P2_1/c,14,Monoclinic,-2.505809572571428,0.006432476624999001,2.4096,3
mp-705329,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,473.42711209839916,2.9282394947247123,11.83567780245998,Cc,9,Monoclinic,-2.479199616196427,0.033042432999999004,2.5251,3
mp-758654,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,467.63481139983634,2.964509770712252,11.690870284995908,P1,1,Triclinic,-2.501089928196428,0.011152120999998,2.45,3
mp-758962,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,930.9259650573855,2.978342036972916,11.63657456321732,C2,5,Monoclinic,-2.451711571446428,0.06053047774999801,2.2006,3
mp-759282,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,932.7623291747642,2.972478463504189,11.659529114684553,P2_12_12,18,Orthorhombic,-2.502820747946428,0.009421301249998001,2.380099999999999,3
mp-765598,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,815.8784466241459,3.398319868005122,10.198480582801825,Ia-3d,230,Cubic,-2.458414962571427,0.05382708662499901,2.4593,3
mp-772738,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,929.5433498751712,2.982772062661012,11.61929187343964,C2,5,Monoclinic,-2.4646824428214282,0.047559606374997,2.2367,3
mp-773158,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,80,1017.6060574051622,2.72464566701775,12.720075717564528,C2,5,Monoclinic,-2.423845695696428,0.08839635349999801,2.4012000000000002,3
mp-775523,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,464.38275116893413,2.9852701549108183,11.609568779223354,C2,5,Monoclinic,-2.4626752199464272,0.049566829249998,2.269,3
mp-849164,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,467.634818857132,2.964509723437701,11.690870471428301,P1,1,Triclinic,2.596727636553571,5.108969685749999,0.0015999999999990002,3
mp-849395,Li3Fe2(PO4)3,Fe,Li3 Fe2 P3 O12,40,470.1658220908261,2.948551133204639,11.754145552270653,P-1,2,Triclinic,-2.4920816104464283,0.020160438749998,2.5377,3
mp-1177430,Li4Fe2(PO4)3,Fe,Li4 Fe2 P3 O12,42,469.0319613196583,3.004826295583766,11.167427650468055,P-1,2,Triclinic,-2.508488604393424,0.038873172976181,2.151399999999999,4
mp-772975,Li4Fe2(PO4)3,Fe,Li4 Fe2 P3 O12,42,482.1302104325478,2.923192822905903,11.479290724584471,P-1,2,Triclinic,-2.516925804155328,0.030435973214276,1.5499,4
mp-780568,Li4Fe2(PO4)3,Fe,Li4 Fe2 P3 O12,84,964.2854733584552,2.923116877274855,11.479588968553038,Pbcn,60,Orthorhombic,-2.498021832607709,0.049339944761896,0.0,4
